,Time,mV,ppb
698,03/07/24:13:06:46,226.378,392
699,03/07/24:13:06:47,226.301,392
700,03/07/24:13:06:48,226.258,392
701,03/07/24:13:06:49,226.211,392
702,03/07/24:13:06:50,226.345,392
703,03/07/24:13:06:51,226.285,392
704,03/07/24:13:06:52,226.223,392
705,03/07/24:13:06:53,226.149,392
706,03/07/24:13:06:54,226.121,392
707,03/07/24:13:06:55,226.09,392
708,03/07/24:13:06:56,226.151,392
709,03/07/24:13:06:57,226.1,392
710,03/07/24:13:06:58,226.025,392
711,03/07/24:13:06:59,225.982,391
712,03/07/24:13:07:00,225.927,391
713,03/07/24:13:07:01,225.938,391
714,03/07/24:13:07:02,226.01,392
715,03/07/24:13:07:03,225.967,391
716,03/07/24:13:07:04,225.912,391
717,03/07/24:13:07:05,225.849,391
718,03/07/24:13:07:06,225.796,391
719,03/07/24:13:07:07,225.741,391
720,03/07/24:13:07:08,225.808,391
721,03/07/24:13:07:09,225.842,391
722,03/07/24:13:07:10,225.779,391
723,03/07/24:13:07:11,225.725,391
724,03/07/24:13:07:12,225.68,391
725,03/07/24:13:07:13,225.628,391
726,03/07/24:13:07:14,225.69,391
727,03/07/24:13:07:15,225.7,391
728,03/07/24:13:07:16,225.625,391
729,03/07/24:13:07:17,225.594,391
730,03/07/24:13:07:19,225.579,391
731,03/07/24:13:07:20,225.563,391
732,03/07/24:13:07:21,225.545,391
733,03/07/24:13:07:22,225.616,391
734,03/07/24:13:07:23,225.554,391
735,03/07/24:13:07:24,225.493,390
736,03/07/24:13:07:25,225.415,390
737,03/07/24:13:07:26,225.397,390
738,03/07/24:13:07:27,225.344,390
739,03/07/24:13:07:28,225.329,390
740,03/07/24:13:07:29,225.445,390
741,03/07/24:13:07:30,225.388,390
742,03/07/24:13:07:31,225.355,390
743,03/07/24:13:07:32,225.326,390
744,03/07/24:13:07:33,225.276,390
745,03/07/24:13:07:34,225.242,390
746,03/07/24:13:07:35,225.226,390
747,03/07/24:13:07:36,225.37,390
748,03/07/24:13:07:37,225.33,390
749,03/07/24:13:07:38,225.256,390
750,03/07/24:13:07:39,225.2,390
751,03/07/24:13:07:40,225.193,390
752,03/07/24:13:07:41,225.167,390
753,03/07/24:13:07:42,225.166,390
754,03/07/24:13:07:43,225.27,390
755,03/07/24:13:07:44,225.263,390
756,03/07/24:13:07:45,225.176,390
757,03/07/24:13:07:46,225.132,390
758,03/07/24:13:07:47,225.102,390
759,03/07/24:13:07:48,225.067,390
760,03/07/24:13:07:49,225.058,390
761,03/07/24:13:07:50,225.068,390
762,03/07/24:13:07:51,225.209,390
763,03/07/24:13:07:52,225.177,390
764,03/07/24:13:07:53,225.138,390
765,03/07/24:13:07:54,225.075,390
766,03/07/24:13:07:56,225.035,390
767,03/07/24:13:07:57,225.027,390
768,03/07/24:13:07:58,224.997,389
769,03/07/24:13:07:59,225.168,390
770,03/07/24:13:08:00,225.132,390
771,03/07/24:13:08:01,225.071,390
772,03/07/24:13:08:02,225.055,390
773,03/07/24:13:08:03,225.036,390
774,03/07/24:13:08:04,224.995,389
775,03/07/24:13:08:05,224.942,389
776,03/07/24:13:08:06,224.94,389
777,03/07/24:13:08:07,225.087,390
778,03/07/24:13:08:08,225.041,390
779,03/07/24:13:08:09,224.989,389
780,03/07/24:13:08:10,224.964,389
781,03/07/24:13:08:11,224.942,389
782,03/07/24:13:08:12,224.924,389
783,03/07/24:13:08:13,224.884,389
784,03/07/24:13:08:14,225.034,390
785,03/07/24:13:08:15,225.015,390
786,03/07/24:13:08:16,224.981,389
787,03/07/24:13:08:17,224.931,389
788,03/07/24:13:08:18,224.918,389
789,03/07/24:13:08:19,224.87,389
790,03/07/24:13:08:20,224.825,389
791,03/07/24:13:08:21,224.904,389
792,03/07/24:13:08:22,224.945,389
793,03/07/24:13:08:23,224.894,389
794,03/07/24:13:08:24,224.854,389
795,03/07/24:13:08:25,224.841,389
796,03/07/24:13:08:26,224.819,389
797,03/07/24:13:08:27,224.808,389
798,03/07/24:13:08:28,224.923,389
799,03/07/24:13:08:29,224.903,389
800,03/07/24:13:08:31,224.859,389
801,03/07/24:13:08:32,224.83,389
802,03/07/24:13:08:33,224.803,389
803,03/07/24:13:08:34,224.775,389
804,03/07/24:13:08:35,224.819,389
805,03/07/24:13:08:36,224.909,389
806,03/07/24:13:08:37,224.869,389
807,03/07/24:13:08:38,224.841,389
808,03/07/24:13:08:39,224.802,389
809,03/07/24:13:08:40,224.775,389
810,03/07/24:13:08:41,224.771,389
811,03/07/24:13:08:42,224.878,389
812,03/07/24:13:08:43,224.911,389
813,03/07/24:13:08:44,224.861,389
814,03/07/24:13:08:45,224.786,389
815,03/07/24:13:08:46,224.736,389
816,03/07/24:13:08:47,224.715,389
817,03/07/24:13:08:48,224.736,389
818,03/07/24:13:08:49,224.864,389
819,03/07/24:13:08:50,224.856,389
820,03/07/24:13:08:51,224.843,389
821,03/07/24:13:08:52,224.825,389
822,03/07/24:13:08:53,224.83,389
823,03/07/24:13:08:54,224.835,389
824,03/07/24:13:08:55,224.98,389
825,03/07/24:13:08:56,224.964,389
826,03/07/24:13:08:57,224.94,389
827,03/07/24:13:08:58,224.941,389
828,03/07/24:13:08:59,224.936,389
829,03/07/24:13:09:00,224.918,389
830,03/07/24:13:09:01,224.934,389
831,03/07/24:13:09:02,225.105,390
832,03/07/24:13:09:03,225.115,390
833,03/07/24:13:09:04,225.065,390
834,03/07/24:13:09:05,225.104,390
835,03/07/24:13:09:06,225.168,390
836,03/07/24:13:09:08,225.181,390
837,03/07/24:13:09:09,225.182,390
838,03/07/24:13:09:10,225.292,390
839,03/07/24:13:09:11,225.429,390
840,03/07/24:13:09:12,225.414,390
841,03/07/24:13:09:13,225.401,390
842,03/07/24:13:09:14,225.389,390
843,03/07/24:13:09:15,225.382,390
844,03/07/24:13:09:16,225.403,390
845,03/07/24:13:09:17,225.521,391
846,03/07/24:13:09:18,225.586,391
847,03/07/24:13:09:19,225.56,391
848,03/07/24:13:09:20,225.543,391
849,03/07/24:13:09:21,225.535,391
850,03/07/24:13:09:22,225.539,391
851,03/07/24:13:09:23,225.548,391
852,03/07/24:13:09:24,225.815,391
853,03/07/24:13:09:25,225.826,391
854,03/07/24:13:09:26,225.773,391
855,03/07/24:13:09:27,225.744,391
856,03/07/24:13:09:28,225.724,391
857,03/07/24:13:09:29,225.698,391
858,03/07/24:13:09:30,225.647,391
859,03/07/24:13:09:31,225.628,391
860,03/07/24:13:09:32,225.611,391
861,03/07/24:13:09:33,225.616,391
862,03/07/24:13:09:34,225.806,391
863,03/07/24:13:09:35,225.873,391
864,03/07/24:13:09:36,225.79,391
865,03/07/24:13:09:37,225.698,391
866,03/07/24:13:09:38,225.65,391
867,03/07/24:13:09:39,225.601,391
868,03/07/24:13:09:41,225.541,391
869,03/07/24:13:09:42,225.517,391
870,03/07/24:13:09:43,225.555,391
871,03/07/24:13:09:44,225.571,391
872,03/07/24:13:09:45,225.519,391
873,03/07/24:13:09:46,225.672,391
874,03/07/24:13:09:47,225.831,391
875,03/07/24:13:09:48,225.744,391
876,03/07/24:13:09:49,225.704,391
877,03/07/24:13:09:50,225.682,391
878,03/07/24:13:09:51,225.638,391
879,03/07/24:13:09:52,225.57,391
880,03/07/24:13:09:53,225.531,391
881,03/07/24:13:09:54,225.513,391
882,03/07/24:13:09:55,225.499,390
883,03/07/24:13:09:56,225.484,390
884,03/07/24:13:09:57,225.461,390
885,03/07/24:13:09:58,225.45,390
886,03/07/24:13:09:59,225.769,391
887,03/07/24:13:10:00,225.724,391
888,03/07/24:13:10:01,225.648,391
889,03/07/24:13:10:02,225.57,391
890,03/07/24:13:10:03,225.514,391
891,03/07/24:13:10:04,225.473,390
892,03/07/24:13:10:05,225.421,390
893,03/07/24:13:10:06,225.372,390
894,03/07/24:13:10:07,225.348,390
895,03/07/24:13:10:08,225.336,390
896,03/07/24:13:10:09,225.301,390
897,03/07/24:13:10:10,225.328,390
898,03/07/24:13:10:11,225.396,390
899,03/07/24:13:10:12,225.681,391
900,03/07/24:13:10:13,225.578,391
901,03/07/24:13:10:15,225.485,390
902,03/07/24:13:10:16,225.416,390
903,03/07/24:13:10:17,225.368,390
904,03/07/24:13:10:18,225.338,390
905,03/07/24:13:10:19,225.309,390
906,03/07/24:13:10:20,225.274,390
907,03/07/24:13:10:21,225.269,390
908,03/07/24:13:10:22,225.292,390
909,03/07/24:13:10:23,225.289,390
910,03/07/24:13:10:24,225.264,390
911,03/07/24:13:10:25,225.251,390
912,03/07/24:13:10:26,225.582,391
913,03/07/24:13:10:27,225.516,391
914,03/07/24:13:10:28,225.436,390
915,03/07/24:13:10:29,225.36,390
916,03/07/24:13:10:30,225.323,390
917,03/07/24:13:10:31,225.3,390
918,03/07/24:13:10:32,225.236,390
919,03/07/24:13:10:33,225.216,390
920,03/07/24:13:10:34,225.206,390
921,03/07/24:13:10:35,225.248,390
922,03/07/24:13:10:36,225.227,390
923,03/07/24:13:10:37,225.364,390
924,03/07/24:13:10:38,225.512,391
925,03/07/24:13:10:39,225.452,390
926,03/07/24:13:10:40,225.359,390
927,03/07/24:13:10:41,225.293,390
928,03/07/24:13:10:42,225.232,390
929,03/07/24:13:10:43,225.241,390
930,03/07/24:13:10:44,225.197,390
931,03/07/24:13:10:45,225.199,390
932,03/07/24:13:10:46,225.183,390
933,03/07/24:13:10:47,225.187,390
934,03/07/24:13:10:49,225.188,390
935,03/07/24:13:10:50,225.446,390
936,03/07/24:13:10:51,225.407,390
937,03/07/24:13:10:52,225.335,390
938,03/07/24:13:10:53,225.255,390
939,03/07/24:13:10:54,225.192,390
940,03/07/24:13:10:55,225.181,390
941,03/07/24:13:10:56,225.155,390
942,03/07/24:13:10:57,225.142,390
943,03/07/24:13:10:58,225.189,390
944,03/07/24:13:10:59,225.18,390
945,03/07/24:13:11:00,225.171,390
946,03/07/24:13:11:01,225.169,390
947,03/07/24:13:11:02,225.183,390
948,03/07/24:13:11:03,225.309,390
949,03/07/24:13:11:04,225.504,391
950,03/07/24:13:11:05,225.43,390
951,03/07/24:13:11:06,225.368,390
952,03/07/24:13:11:07,225.322,390
953,03/07/24:13:11:08,225.276,390
954,03/07/24:13:11:09,225.248,390
955,03/07/24:13:11:10,225.254,390
956,03/07/24:13:11:11,225.22,390
957,03/07/24:13:11:12,225.216,390
958,03/07/24:13:11:13,225.208,390
959,03/07/24:13:11:14,225.205,390
960,03/07/24:13:11:15,225.181,390
961,03/07/24:13:11:16,225.398,390
962,03/07/24:13:11:17,225.552,391
963,03/07/24:13:11:18,225.459,390
964,03/07/24:13:11:19,225.394,390
965,03/07/24:13:11:20,225.321,390
966,03/07/24:13:11:21,225.284,390
967,03/07/24:13:11:22,225.266,390
968,03/07/24:13:11:23,225.277,390
969,03/07/24:13:11:25,225.273,390
970,03/07/24:13:11:26,225.272,390
971,03/07/24:13:11:27,225.253,390
972,03/07/24:13:11:28,225.244,390
973,03/07/24:13:11:29,225.242,390
974,03/07/24:13:11:30,225.277,390
975,03/07/24:13:11:31,225.614,391
976,03/07/24:13:11:32,225.536,391
977,03/07/24:13:11:33,225.475,390
978,03/07/24:13:11:34,225.447,390
979,03/07/24:13:11:35,225.429,390
980,03/07/24:13:11:36,225.455,390
981,03/07/24:13:11:37,225.444,390
982,03/07/24:13:11:38,225.458,390
983,03/07/24:13:11:39,225.471,390
984,03/07/24:13:11:40,225.435,390
985,03/07/24:13:11:41,225.383,390
986,03/07/24:13:11:42,225.403,390
987,03/07/24:13:11:43,225.73,391
988,03/07/24:13:11:44,225.751,391
989,03/07/24:13:11:45,225.613,391
990,03/07/24:13:11:46,225.59,391
991,03/07/24:13:11:47,225.561,391
992,03/07/24:13:11:48,225.492,390
993,03/07/24:13:11:49,225.465,390
994,03/07/24:13:11:50,225.491,390
995,03/07/24:13:11:51,225.499,390
996,03/07/24:13:11:52,225.513,391
997,03/07/24:13:11:53,225.529,391
998,03/07/24:13:11:54,225.554,391
999,03/07/24:13:11:55,225.812,391
1000,03/07/24:13:11:56,225.872,391
1001,03/07/24:13:11:57,225.772,391
1002,03/07/24:13:11:58,225.451,390
1003,03/07/24:13:11:59,225.288,390
1004,03/07/24:13:12:01,225.264,390
1005,03/07/24:13:12:02,225.275,390
1006,03/07/24:13:12:03,225.304,390
1007,03/07/24:13:12:04,225.324,390
1008,03/07/24:13:12:05,225.369,390
1009,03/07/24:13:12:06,225.393,390
1010,03/07/24:13:12:07,225.403,390
1011,03/07/24:13:12:08,225.648,391
1012,03/07/24:13:12:09,225.625,391
1013,03/07/24:13:12:10,225.597,391
1014,03/07/24:13:12:11,225.552,391
1015,03/07/24:13:12:12,225.542,391
1016,03/07/24:13:12:13,225.518,391
1017,03/07/24:13:12:14,225.51,391
1018,03/07/24:13:12:15,225.484,390
1019,03/07/24:13:12:16,225.488,390
1020,03/07/24:13:12:17,225.762,391
1021,03/07/24:13:12:18,225.763,391
1022,03/07/24:13:12:19,225.678,391
1023,03/07/24:13:12:20,225.619,391
1024,03/07/24:13:12:21,225.563,391
1025,03/07/24:13:12:22,225.552,391
1026,03/07/24:13:12:23,225.546,391
1027,03/07/24:13:12:24,225.528,391
1028,03/07/24:13:12:25,225.489,390
1029,03/07/24:13:12:26,225.461,390
1030,03/07/24:13:12:28,225.442,390
1031,03/07/24:13:12:29,225.581,391
1032,03/07/24:13:12:30,225.737,391
1033,03/07/24:13:12:31,225.676,391
1034,03/07/24:13:12:32,225.608,391
1035,03/07/24:13:12:33,225.562,391
1036,03/07/24:13:12:34,225.546,391
1037,03/07/24:13:12:35,225.537,391
1038,03/07/24:13:12:36,225.511,391
1039,03/07/24:13:12:37,225.492,390
1040,03/07/24:13:12:38,225.486,390
1041,03/07/24:13:12:39,225.471,390
1042,03/07/24:13:12:40,225.55,391
1043,03/07/24:13:12:41,225.779,391
1044,03/07/24:13:12:42,225.709,391
1045,03/07/24:13:12:43,225.695,391
1046,03/07/24:13:12:44,225.638,391
1047,03/07/24:13:12:45,225.608,391
1048,03/07/24:13:12:46,225.586,391
1049,03/07/24:13:12:47,225.567,391
1050,03/07/24:13:12:48,225.574,391
1051,03/07/24:13:12:49,225.546,391
1052,03/07/24:13:12:50,225.537,391
1053,03/07/24:13:12:51,225.612,391
1054,03/07/24:13:12:53,225.789,391
1055,03/07/24:13:12:54,225.755,391
1056,03/07/24:13:12:55,225.741,391
1057,03/07/24:13:12:56,225.721,391
1058,03/07/24:13:12:57,225.726,391
1059,03/07/24:13:12:58,225.732,391
1060,03/07/24:13:12:59,225.765,391
1061,03/07/24:13:13:00,225.817,391
1062,03/07/24:13:13:01,226.032,392
1063,03/07/24:13:13:02,226.112,392
1064,03/07/24:13:13:03,226.121,392
1065,03/07/24:13:13:04,226.13,392
1066,03/07/24:13:13:05,226.136,392
1067,03/07/24:13:13:06,226.173,392
1068,03/07/24:13:13:07,226.228,392
1069,03/07/24:13:13:08,226.285,392
1070,03/07/24:13:13:09,226.531,393
1071,03/07/24:13:13:10,226.57,393
1072,03/07/24:13:13:11,226.58,393
1073,03/07/24:13:13:12,226.623,393
1074,03/07/24:13:13:13,226.68,393
1075,03/07/24:13:13:14,226.723,393
1076,03/07/24:13:13:15,226.75,393
1077,03/07/24:13:13:16,226.869,393
1078,03/07/24:13:13:17,227.103,394
1079,03/07/24:13:13:19,227.139,394
1080,03/07/24:13:13:20,227.168,394
1081,03/07/24:13:13:21,227.219,394
1082,03/07/24:13:13:22,227.288,394
1083,03/07/24:13:13:23,227.377,394
1084,03/07/24:13:13:24,227.554,395
1085,03/07/24:13:13:25,227.677,395
1086,03/07/24:13:13:26,227.726,395
1087,03/07/24:13:13:27,227.777,395
1088,03/07/24:13:13:28,227.828,395
1089,03/07/24:13:13:29,227.882,395
1090,03/07/24:13:13:30,227.961,395
1091,03/07/24:13:13:31,228.139,396
1092,03/07/24:13:13:32,228.127,396
1093,03/07/24:13:13:33,228.128,396
1094,03/07/24:13:13:34,228.157,396
1095,03/07/24:13:13:35,228.171,396
1096,03/07/24:13:13:36,228.196,396
1097,03/07/24:13:13:37,228.331,396
1098,03/07/24:13:13:38,228.401,396
1099,03/07/24:13:13:39,228.391,396
1100,03/07/24:13:13:40,228.387,396
1101,03/07/24:13:13:41,228.394,396
1102,03/07/24:13:13:42,228.42,396
1103,03/07/24:13:13:43,228.52,397
1104,03/07/24:13:13:45,228.603,397
1105,03/07/24:13:13:46,228.538,397
1106,03/07/24:13:13:47,228.487,396
1107,03/07/24:13:13:48,228.463,396
1108,03/07/24:13:13:49,228.475,396
1109,03/07/24:13:13:50,228.53,397
1110,03/07/24:13:13:51,228.582,397
1111,03/07/24:13:13:52,228.535,397
1112,03/07/24:13:13:53,228.495,396
1113,03/07/24:13:13:54,228.47,396
1114,03/07/24:13:13:55,228.461,396
1115,03/07/24:13:13:56,228.581,397
1116,03/07/24:13:13:57,228.573,397
1117,03/07/24:13:13:58,228.517,397
1118,03/07/24:13:13:59,228.49,396
1119,03/07/24:13:14:00,228.458,396
1120,03/07/24:13:14:01,228.472,396
1121,03/07/24:13:14:02,228.647,397
1122,03/07/24:13:14:03,228.644,397
1123,03/07/24:13:14:04,228.59,397
1124,03/07/24:13:14:05,228.543,397
1125,03/07/24:13:14:06,228.441,396
1126,03/07/24:13:14:07,228.412,396
1127,03/07/24:13:14:08,228.456,396
1128,03/07/24:13:14:09,228.366,396
1129,03/07/24:13:14:10,228.315,396
1130,03/07/24:13:14:12,228.306,396
1131,03/07/24:13:14:13,228.328,396
1132,03/07/24:13:14:14,228.467,396
1133,03/07/24:13:14:15,228.514,397
1134,03/07/24:13:14:16,228.487,396
1135,03/07/24:13:14:17,228.459,396
1136,03/07/24:13:14:18,228.434,396
1137,03/07/24:13:14:19,228.417,396
1138,03/07/24:13:14:20,228.572,397
1139,03/07/24:13:14:21,228.544,397
1140,03/07/24:13:14:22,228.523,397
1141,03/07/24:13:14:23,228.522,397
1142,03/07/24:13:14:24,228.488,396
1143,03/07/24:13:14:25,228.599,397
1144,03/07/24:13:14:26,228.61,397
1145,03/07/24:13:14:27,228.584,397
1146,03/07/24:13:14:28,228.571,397
1147,03/07/24:13:14:29,228.591,397
1148,03/07/24:13:14:30,228.613,397
1149,03/07/24:13:14:31,228.766,397
1150,03/07/24:13:14:32,228.726,397
1151,03/07/24:13:14:33,228.692,397
1152,03/07/24:13:14:34,228.688,397
1153,03/07/24:13:14:35,228.687,397
1154,03/07/24:13:14:36,228.798,397
1155,03/07/24:13:14:37,228.922,397
1156,03/07/24:13:14:39,228.901,397
1157,03/07/24:13:14:40,228.896,397
1158,03/07/24:13:14:41,228.878,397
1159,03/07/24:13:14:42,228.902,397
1160,03/07/24:13:14:43,229.133,398
1161,03/07/24:13:14:44,229.137,398
1162,03/07/24:13:14:45,229.085,398
1163,03/07/24:13:14:46,229.088,398
1164,03/07/24:13:14:47,229.097,398
1165,03/07/24:13:14:48,229.097,398
1166,03/07/24:13:14:49,229.11,398
1167,03/07/24:13:14:50,229.278,398
1168,03/07/24:13:14:51,229.36,398
1169,03/07/24:13:14:52,229.329,398
1170,03/07/24:13:14:53,229.306,398
1171,03/07/24:13:14:54,229.31,398
1172,03/07/24:13:14:55,229.331,398
1173,03/07/24:13:14:56,229.377,398
1174,03/07/24:13:14:57,229.4,398
1175,03/07/24:13:14:58,229.605,399
1176,03/07/24:13:14:59,229.541,399
1177,03/07/24:13:15:00,229.522,399
1178,03/07/24:13:15:01,229.526,399
1179,03/07/24:13:15:02,229.509,399
1180,03/07/24:13:15:03,229.517,399
1181,03/07/24:13:15:04,229.535,399
1182,03/07/24:13:15:06,229.628,399
1183,03/07/24:13:15:07,229.79,399
1184,03/07/24:13:15:08,229.734,399
1185,03/07/24:13:15:09,229.72,399
1186,03/07/24:13:15:10,229.692,399
1187,03/07/24:13:15:11,229.691,399
1188,03/07/24:13:15:12,229.7,399
1189,03/07/24:13:15:13,229.738,399
1190,03/07/24:13:15:14,229.783,399
1191,03/07/24:13:15:15,230.026,400
1192,03/07/24:13:15:16,230.002,400
1193,03/07/24:13:15:17,229.99,399
1194,03/07/24:13:15:18,229.96,399
1195,03/07/24:13:15:19,229.975,399
1196,03/07/24:13:15:20,229.978,399
1197,03/07/24:13:15:21,229.986,399
1198,03/07/24:13:15:22,229.993,399
1199,03/07/24:13:15:23,230.259,400
1200,03/07/24:13:15:24,230.229,400
1201,03/07/24:13:15:25,230.231,400
1202,03/07/24:13:15:26,230.238,400
1203,03/07/24:13:15:27,230.27,400
1204,03/07/24:13:15:28,230.301,400
1205,03/07/24:13:15:29,230.33,400
1206,03/07/24:13:15:30,230.436,400
1207,03/07/24:13:15:32,230.607,401
1208,03/07/24:13:15:33,230.569,401
1209,03/07/24:13:15:34,230.57,401
1210,03/07/24:13:15:35,230.574,401
1211,03/07/24:13:15:36,230.539,401
1212,03/07/24:13:15:37,230.571,401
1213,03/07/24:13:15:38,230.577,401
1214,03/07/24:13:15:39,230.612,401
1215,03/07/24:13:15:40,230.813,401
1216,03/07/24:13:15:41,230.781,401
1217,03/07/24:13:15:42,230.746,401
1218,03/07/24:13:15:43,230.745,401
1219,03/07/24:13:15:44,230.755,401
1220,03/07/24:13:15:45,230.824,401
1221,03/07/24:13:15:46,230.952,401
1222,03/07/24:13:15:47,230.907,401
1223,03/07/24:13:15:48,230.903,401
1224,03/07/24:13:15:49,230.904,401
1225,03/07/24:13:15:50,230.904,401
1226,03/07/24:13:15:51,231.019,402
1227,03/07/24:13:15:52,231.112,402
1228,03/07/24:13:15:53,231.117,402
1229,03/07/24:13:15:54,231.124,402
1230,03/07/24:13:15:55,231.147,402
1231,03/07/24:13:15:56,231.196,402
1232,03/07/24:13:15:57,231.357,402
1233,03/07/24:13:15:58,231.372,402
1234,03/07/24:13:16:00,231.383,402
1235,03/07/24:13:16:01,231.352,402
1236,03/07/24:13:16:02,231.344,402
1237,03/07/24:13:16:03,231.446,402
1238,03/07/24:13:16:04,231.567,403
1239,03/07/24:13:16:05,231.555,403
1240,03/07/24:13:16:06,231.563,403
1241,03/07/24:13:16:07,231.569,403
1242,03/07/24:13:16:08,231.611,403
1243,03/07/24:13:16:09,231.763,403
1244,03/07/24:13:16:10,231.772,403
1245,03/07/24:13:16:11,231.775,403
1246,03/07/24:13:16:12,231.803,403
1247,03/07/24:13:16:13,231.813,403
1248,03/07/24:13:16:14,231.907,403
1249,03/07/24:13:16:15,232.043,404
1250,03/07/24:13:16:16,232.028,404
1251,03/07/24:13:16:17,232.013,404
1252,03/07/24:13:16:18,231.997,403
1253,03/07/24:13:16:19,232.016,404
1254,03/07/24:13:16:20,232.198,404
1255,03/07/24:13:16:21,232.221,404
1256,03/07/24:13:16:22,232.227,404
1257,03/07/24:13:16:23,232.226,404
1258,03/07/24:13:16:24,232.23,404
1259,03/07/24:13:16:25,232.388,404
1260,03/07/24:13:16:27,232.405,404
1261,03/07/24:13:16:28,232.425,404
1262,03/07/24:13:16:29,232.421,404
1263,03/07/24:13:16:30,232.477,404
1264,03/07/24:13:16:31,232.565,405
1265,03/07/24:13:16:32,234.69,409
1266,03/07/24:13:16:33,234.495,408
1267,03/07/24:13:16:34,234.105,408
1268,03/07/24:13:16:35,233.86,407
1269,03/07/24:13:16:36,233.611,407
1270,03/07/24:13:16:37,233.375,406
1271,03/07/24:13:16:38,233.219,406
1272,03/07/24:13:16:39,233.217,406
1273,03/07/24:13:16:40,233.182,406
1274,03/07/24:13:16:41,233.119,406
1275,03/07/24:13:16:42,233.068,406
1276,03/07/24:13:16:43,233.129,406
1277,03/07/24:13:16:44,233.159,406
1278,03/07/24:13:16:45,233.103,406
1279,03/07/24:13:16:46,233.153,406
1280,03/07/24:13:16:47,233.273,406
1281,03/07/24:13:16:48,233.301,406
1282,03/07/24:13:16:49,233.306,406
1283,03/07/24:13:16:50,233.305,406
1284,03/07/24:13:16:51,233.424,406
1285,03/07/24:13:16:52,233.441,406
1286,03/07/24:13:16:53,233.455,406
1287,03/07/24:13:16:55,233.493,406
1288,03/07/24:13:16:56,233.626,407
1289,03/07/24:13:16:57,233.648,407
1290,03/07/24:13:16:58,233.648,407
1291,03/07/24:13:16:59,233.689,407
1292,03/07/24:13:17:00,233.759,407
1293,03/07/24:13:17:01,233.779,407
1294,03/07/24:13:17:02,233.801,407
1295,03/07/24:13:17:03,233.93,407
1296,03/07/24:13:17:04,233.987,407
1297,03/07/24:13:17:05,233.984,407
1298,03/07/24:13:17:06,234.024,408
1299,03/07/24:13:17:07,234.15,408
1300,03/07/24:13:17:08,234.155,408
1301,03/07/24:13:17:09,234.136,408
1302,03/07/24:13:17:10,234.746,409
1303,03/07/24:13:17:11,236.231,412
1304,03/07/24:13:17:12,236.409,412
1305,03/07/24:13:17:13,236.431,412
1306,03/07/24:13:17:14,236.408,412
1307,03/07/24:13:17:15,236.492,412
1308,03/07/24:13:17:16,236.48,412
1309,03/07/24:13:17:18,236.45,412
1310,03/07/24:13:17:19,236.43,412
1311,03/07/24:13:17:20,236.535,413
1312,03/07/24:13:17:21,236.508,413
1313,03/07/24:13:17:22,236.494,412
1314,03/07/24:13:17:23,236.503,413
1315,03/07/24:13:17:24,236.658,413
1316,03/07/24:13:17:25,236.655,413
1317,03/07/24:13:17:26,236.661,413
1318,03/07/24:13:17:27,236.696,413
1319,03/07/24:13:17:28,236.834,413
1320,03/07/24:13:17:29,236.834,413
1321,03/07/24:13:17:30,236.839,413
1322,03/07/24:13:17:31,236.859,413
1323,03/07/24:13:17:32,236.996,413
1324,03/07/24:13:17:33,237.014,414
1325,03/07/24:13:17:34,237.008,414
1326,03/07/24:13:17:35,236.997,413
1327,03/07/24:13:17:36,237.107,414
1328,03/07/24:13:17:37,237.197,414
1329,03/07/24:13:17:38,237.191,414
1330,03/07/24:13:17:39,237.231,414
1331,03/07/24:13:17:40,237.296,414
1332,03/07/24:13:17:41,237.405,414
1333,03/07/24:13:17:42,237.417,414
1334,03/07/24:13:17:43,237.429,414
1335,03/07/24:13:17:45,237.447,414
1336,03/07/24:13:17:46,237.628,415
1337,03/07/24:13:17:47,237.693,415
1338,03/07/24:13:17:48,237.681,415
1339,03/07/24:13:17:49,237.706,415
1340,03/07/24:13:17:50,237.797,415
1341,03/07/24:13:17:51,237.885,415
1342,03/07/24:13:17:52,237.822,415
1343,03/07/24:13:17:53,237.823,415
1344,03/07/24:13:17:54,237.847,415
1345,03/07/24:13:17:55,238.025,416
1346,03/07/24:13:17:56,238.02,416
1347,03/07/24:13:17:57,238.021,416
1348,03/07/24:13:17:58,238.05,416
1349,03/07/24:13:17:59,238.17,416
1350,03/07/24:13:18:00,238.221,416
1351,03/07/24:13:18:01,238.214,416
1352,03/07/24:13:18:02,238.195,416
1353,03/07/24:13:18:03,238.27,416
1354,03/07/24:13:18:04,238.419,416
1355,03/07/24:13:18:05,238.417,416
1356,03/07/24:13:18:06,238.421,416
1357,03/07/24:13:18:07,238.457,416
1358,03/07/24:13:18:08,238.58,417
1359,03/07/24:13:18:09,238.62,417
1360,03/07/24:13:18:10,238.634,417
1361,03/07/24:13:18:11,238.654,417
1362,03/07/24:13:18:13,238.829,417
1363,03/07/24:13:18:14,238.88,417
1364,03/07/24:13:18:15,238.91,417
1365,03/07/24:13:18:16,238.932,417
1366,03/07/24:13:18:17,239.017,418
1367,03/07/24:13:18:18,239.099,418
1368,03/07/24:13:18:19,239.082,418
1369,03/07/24:13:18:20,239.109,418
1370,03/07/24:13:18:21,239.141,418
1371,03/07/24:13:18:22,239.288,418
1372,03/07/24:13:18:23,239.323,418
1373,03/07/24:13:18:24,239.329,418
1374,03/07/24:13:18:25,239.334,418
1375,03/07/24:13:18:26,239.379,418
1376,03/07/24:13:18:27,239.526,419
1377,03/07/24:13:18:28,239.535,419
